Project Line,Client,Project,client_code,client_suffix,description,Sub-Project,Suffix Range,Suffix Budget,Sub-Project Budget,Project Range,Project Budget,Proj. Budget Ext.,Client Code & Suffix,Project Year,Contract State,Billing Status,Status,Proj. Upd Charges,Proj. Charges,Chrg Offs YTD,Requested Chrg Offs2,Total Chrg Offs,Invoices 2020,Invoices 2021,Invoices 2022,Invoices 2023,Invoices 2024,Invoices 2025,Invoiced,Unbilled
1,Eurolife Fairfax,TIPP product,0478EUR30,06,Market consistent scenario solution for valuation of TIPP product,,,,---,,,,0478EUR30-06,,,,Closed,54166.916,54773.996,607.08,,607.08,0,0,0,0,0,0,0,0
1,Eurolife Fairfax,ESG,0478EUR30,04,ESG,,,,---,6000,6000,,0478EUR30-04,,,,Active,10931.596,10931.596,0,,0,0,6000,0,12000,6000,0,24000,-18000
1,Eurolife Fairfax,SoW_2021-05 Secondment Resources,0478EUR30,07,Secondment Resources for IFRS17 implementation,,5-6 Mnths @ 950/1.5 days,95000,---,5-6 Mnths @ 950/1.5 days,95000,,0478EUR30-07,,,,Closed,49977.805,51563.815,1586.01,,1586.01,0,16500,33095,0,0,0,49595,382.805
1,Eurolife Fairfax,SoW_2022-06 Fair Value - IFRS17,0478EUR30,08,Fair Value - IFRS17,,30-35K,30000,---,30-35K,30000,35000,0478EUR30-08,,,,Closed,32346.855,32346.855,0,,0,0,0,32500,0,0,0,32500,-153.145
1,Ethniki Greece,Validation TP_Assumptions  2023,0478ETK30,01,PMO,PMO,,10000,10000,120k + 110k,120000,,0478ETK30-01,2023,Signed,Not Billed,Finishished - Nut Paid,167329.775,167329.775,0,,0,0,0,0,0,120000,0,120000,0
1,Ethniki Greece,Validation TP_Assumptions  2024,0478ETK30,01,PMO,PMO,,10000,10000,110k,110000,,0478ETK30-01,,,,,99070.5225,99070.5225,0,,0,0,0,0,0,0,60000,60000,39070.5225
1,Cosmoco,Hydra Review Support,0478COS78,01,(blank),,,,---,,8000,,0478COS78-01,2020+,,,Active,25704.34,28930.15,3225.81,,3225.81,0,0,0,22500,8000,0,30500,-22500
1,Ethniki CY,Market Risk Calcs,0478ETH30,06,SII support,,,6000,---,,6000,,0478ETH30-06,2020+,,,Active,23965.8,25643.64,1677.84,,1677.84,0,0,6000,6000,6000,0,18000,-12000
1,Ethniki CY,Additional Tasks,0478ETH30,09,Non standard requests - bill separately,,,,---,,0,,0478ETH30-09,2020+,,,Active,19196.64,21004.64,1808,,1808,0,0,0,0,0,0,0,0
1,Ethniki CY,Economic Scenarios,0478ETH30,08,Economic Scenarios,ESG Scenarios - Annual,,5000,5000,,,,0478ETH30-08,2020+,,,Active,0,0,0,,0,0,0,5000,10000,5000,0,20000,-20000
1,Ethniki CY,"IFRS17 TRN, Valuations, Disclosures",0478ETH30,10,PMO,,,,---,,225000,,0478ETH30-10,2023,,,,172578.2,172578.2,0,,0,0,0,0,10000,100000,115000,225000,-52421.8
1,Ethniki CY,Tool development,0478ZET30,01,Tool development,,,,---,,0,,0478ZET30-01,,,,,17464,17464,0,,0,0,0,0,0,0,0,0,0
1,Moore Limassol Ltd,Audit Support-Asomic & KLPP,0478MOO78,01,Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement,,,,---,,0,,0478MOO78-01,,Signed,,Closed,52763.57,52763.57,0,,0,0,0,0,0,61000,0,61000,-61000
1,Baker Tilly,,0478BAK78,01,Minerva Actuarial Review and Due Diligence for Capital Raise,,,,---,,0,,0478BAK78-01,,Signed,,Closed,0,0,0,,0,0,0,0,0,0,0,0,0
1,Baker Tilly,Audit Support-GAN,0478BAK78,02,Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement,,,,---,,28000,,0478BAK78-02,,Signed,,Active,24597.88,24597.88,0,,0,0,0,0,0,20000,8000,28000,-3402.12
1,Prime,IFRS17 Support,0478PRI78,01,PMO,,,11000,---,170-190k,181000,,0478PRI78-01,2021,Signed,Fully Billed,Closed,105462.975,105462.975,0,,0,0,0,110000,50000,0,0,160000,-54537.025
1,Mikellidou,MM Expert Witness,0478MIK78,01,MM Expert Witness,,,,---,,0,,0478MIK78-01,,Signed,Fully Billed,Closed,20095.5,20095.5,0,,0,0,0,0,0,5000,0,5000,-5000
1,Minerva,Reinsurance - Opinion,0478MIN78,01,RI Analysis 2023,,,24500,---,24.5k,24500,,0478MIN78-01,,Signed,Fully Billed,Closed,26460.12,26460.12,0,,0,0,0,0,24500,0,0,24500,0
1,Groupama,Review of IFRS17 Impl. (TRN-2024),0478GRO30,03,IFRS17 Impl.: Review and simulation,,,45000,---,35-45k,45000,,0478GRO30-03,,Signed,Fully Billed,Finished - ToInvoice,40275,40275,0,,0,0,0,0,0,0,0,45000,-4725
