Project Line,Client,Project,client_code,client_suffix,description,Sub-Project,Suffix Range,Suffix Budget,Sub-Project Budget,Project Range,Project Budget,Proj. Budget Ext.,Client Code & Suffix,Project Year,Contract State,Billing Status,Status,Proj. Upd Charges,Proj. Charges,Chrg Offs YTD,Requested Chrg Offs2,Total Chrg Offs,Invoices 2020,Invoices 2021,Invoices 2022,Invoices 2023,Invoices 2024,Invoices 2025,Invoiced,Unbilled
,IAG,IFRS17 - Main,0478INT30,08,WS3-4 Prophet,,,100000,---,,---,,0478INT30-08,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
1,IAG,HIA,0478INT30,11,HIA-2020 (EIOPA Holistic Impact Assessment 2020) assistance,,,,---,,0,,0478INT30-11,,,,Closed,9265,9265,0,,0,0,0,0,0,0,0,0,0
1,IAG,AFH Review,0478INT30,13,AFH_Review_2020,,,10000,---,,10000,,0478INT30-13,,,,Closed,25340.625,25340.625,0,,0,0,0,0,0,0,0,0,10000
1,IAG,Economic Scenarios,0478INT30,???,,ESG Scenarios - Annual,,8000,8000,,8000,,0478INT30-???,,,,Active,0,0,0,,0,0,0,8000,8000,0,8000,24000,-24000
1,IAG,Turbo ALM - License,0478INT30,14,,Turbo ALM,,7500,7500,Yr2+: 7.5k,7500,,0478INT30-14,,,,Active,40695.2075,40695.2075,0,,0,0,0,7500,7500,7500,0,22500,-15000
,IAG,Turbo ALM - Initial License,0478INT30,14--1,,Turbo ALM,,15000,15000,Yr1: 15k,---,,0478INT30-14--1,,,,Active,---,---,---,,0,0,0,0,0,0,0,---,---
,IAG,TVoG Sirius,0478INT30,14--2,TVoG SIRIUS Implementation,Turbo ALM,,22000,22000,Impl. 22k,---,,0478INT30-14--2,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
1,IAG,Methodology,0478INT30,21,IFRS17 - Methodology Budget,Appendix III_Meth.,,100000,100000,100k,100000,,0478INT30-21,,,,Active,69822.71,69822.71,0,,0,0,0,10000,27000,0,0,37000,32822.71
1,IAG,Fair Value - IFRS17,0478INT30,15,Fair value approach (Life),Appendix I-II,,15300,15300,,15300,,0478INT30-15,,,,Closed,28948.8625,35778.4325,6829.57,,6829.57,0,0,0,0,0,0,0,15300
,IAG,Appendix I-II,0478INT30,16,NL-specific appendix I scope,Appendix I-II,,,---,,---,,0478INT30-16,,,,Closed,---,---,---,,0,0,0,23700,0,0,0,---,---
1,IAG,Appendix I-II,0478INT30,17,NL-specific appendix II scope,Appendix I-II,,49600,---,,49600,,0478INT30-17,,,,,47015.8525,47714.9625,699.11,,699.11,0,0,41600,0,0,0,41600,5415.8525
,IAG,Appendix I-II,0478INT30,17--1,PAA eligibility assessment for Non-Life,Appendix I-II,26600,,---,,---,,0478INT30-17--1,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
,IAG,Appendix I-II,0478INT30,17--2,Preparation of Reinsurance assumptions to feed modelling (Non-Life),Appendix I-II,15000,,---,,---,,0478INT30-17--2,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
,IAG,Appendix I-II,0478INT30,17--3,Validation on variables input for EPL (Non-Life),Appendix I-II,0,,---,,---,,0478INT30-17--3,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
,IAG,Appendix I-II,0478INT30,17--4,Treatment of DAC (PAA expense option taken/not taken) (Non-Life),Appendix I-II,8000,,---,,---,,0478INT30-17--4,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
1,IAG,IFRS17 Life – WoP Claims,0478INT30,18,IFRS17 Life – WoP Claims,Appendix I-II,,10800,10800,,10800,,0478INT30-18,,,,Closed,10946.5725,11477.8225,531.25,,531.25,0,0,0,10800,0,0,10800,0
1,IAG,IFRS17 VFA Eligibility,0478INT30,19,IFRS17 VFA Eligibility,Appendix I-II,,15300,15300,,15300,,0478INT30-19,,,,Finishished - Nut Paid,15404.081,25417.041,10012.96,,10012.96,0,0,15300,0,0,0,15300,0
1,IAG,Treatment of policyholders’ loans under IFRS17,0478INT30,24,Treatment of policyholders’ loans under IFRS17,Appendix I-II,,10800,10800,,10800,,0478INT30-24,,,,Finishished - Nut Paid,10949.4675,10949.4675,0,,0,0,0,0,10800,0,0,10800,0
1,IAG,Reinsurance - Life,0478INT30,25,Reinsurance - Life,Appendix I-II,,15300,15300,,15300,,0478INT30-25,,,,Future,0,0,0,,0,0,0,0,0,0,0,0,0
1,IAG,UAT,0478INT30,20,IFRS17- User Acceptance Tests,Appendix III_UAT,,85000,85000,80-90k,90000,,0478INT30-20,,,,Closed,111331.9775,141573.5775,30241.6,,30241.6,0,0,85000,0,0,0,85000,5000
1,IAG,IFRS17 Documentation,0478INT30,22,IFRS17 Documentation Project - Life,Appendix IV: ifrs17 Documentation,,82500,---,100-120k,110000,,0478INT30-22,,,,Closed,75784.98,75784.98,0,,0,0,0,110000,0,0,0,110000,-34215.02
,IAG,IFRS17 Documentation,0478INT30,23,IFRS17 Documentation Project - Non-Life,Appendix IV: ifrs17 Documentation,,27500,---,,---,,0478INT30-23,,,,Closed,---,---,---,,0,0,0,0,0,0,0,---,---
